SERVED MODEL: claude-opus-5-5 — X.W7R.d summary, generated from d-result-*.json (settled bytes)
run | transition | distinctW | morphMs(data-morphing) | reachMs(first frame at end width) | blurText during/after | scaledText after | wrap frames | wrap-then-snap | blurred crops after settle (sharp<0.95) | sharpRatio min | token --spring-dock-duration
iso-r1 | c1-large-to-small-idle-first | 3 | 547 | 547.0 | 0/0 | 0 | 0 | False | 0 | 1.0196 | calc(0.21s * 1)
iso-r1 | c1-small-to-large-hover | 18 | 551 | 250.1 | 0/0 | 42 | 0 | False | 0 | 0.9774 | calc(0.21s * 1)
iso-r1 | c2-large-to-small-idle-second | 17 | 550.1 | 248.4 | 0/0 | 0 | 0 | False | 0 | 0.979 | calc(0.21s * 1)
iso-r1 | c2-small-to-large-click-rest | 18 | 549 | 249.2 | 0/0 | 46 | 0 | False | 0 | 1.0091 | calc(0.21s * 1)
iso-r1 | c3-large-to-small-outside | 17 | 550.1 | 248.2 | 0/0 | 0 | 0 | False | 0 | 1.0053 | calc(0.21s * 1)
iso-r1 | c3-small-to-large-click-pointer-off | 18 | 547.9 | 247.1 | 0/0 | 0 | 0 | False | 0 | 0.993 | calc(0.21s * 1)
iso-r1 | layer-main-to-action | 2 | 0 | 0.0 | 0/0 | 0 | 0 | False | 0 | 1.002 | calc(0.21s * 1)
iso-r1 | layer-action-to-main | 2 | 0 | 0.0 | 0/0 | 0 | 0 | False | 0 | 1.0109 | calc(0.21s * 1)
iso-r2 | c1-large-to-small-idle-first | 3 | 549.8 | 549.8 | 0/0 | 0 | 0 | False | 0 | 1.0132 | calc(0.21s * 1)
iso-r2 | c1-small-to-large-hover | 18 | 549.1 | 249.1 | 0/0 | 42 | 0 | False | 0 | 0.9777 | calc(0.21s * 1)
iso-r2 | c2-large-to-small-idle-second | 17 | 550.4 | 250.3 | 0/0 | 0 | 0 | False | 0 | 0.9873 | calc(0.21s * 1)
iso-r2 | c2-small-to-large-click-rest | 18 | 539.7 | 239.9 | 0/0 | 46 | 0 | False | 0 | 1.0083 | calc(0.21s * 1)
iso-r2 | c3-large-to-small-outside | 17 | 551.9 | 250.5 | 0/0 | 0 | 0 | False | 0 | 1.0164 | calc(0.21s * 1)
iso-r2 | c3-small-to-large-click-pointer-off | 18 | 546.7 | 246.7 | 0/0 | 0 | 0 | False | 0 | 0.9919 | calc(0.21s * 1)
iso-r2 | layer-main-to-action | 2 | 0 | 0 | 0/0 | 0 | 0 | False | 0 | 1.0036 | calc(0.21s * 1)
iso-r2 | layer-action-to-main | 2 | 0 | 0.0 | 0/0 | 0 | 0 | False | 0 | 1.0052 | calc(0.21s * 1)
base-r1 | c1-large-to-small-idle-first | 14 | 501.6 | 501.6 | 6/0 | 0 | 0 | False | 0 | 1.0361 | calc(0.19s * 1)
base-r1 | c1-small-to-large-hover | 15 | 500 | 200.4 | 4/0 | 45 | 0 | False | 0 | 1.0021 | calc(0.19s * 1)
base-r1 | c2-large-to-small-idle-second | 14 | 501.4 | 199.5 | 6/0 | 0 | 0 | False | 0 | 0.9514 | calc(0.19s * 1)
base-r1 | c2-small-to-large-click-rest | 15 | 492.9 | 192.9 | 4/0 | 49 | 0 | False | 0 | 0.9983 | calc(0.19s * 1)
base-r1 | c3-large-to-small-outside | 14 | 500.5 | 198.9 | 6/0 | 0 | 0 | False | 0 | 0.9882 | calc(0.19s * 1)
base-r1 | c3-small-to-large-click-pointer-off | 15 | 499.8 | 199.7 | 4/0 | 0 | 0 | False | 0 | 0.999 | calc(0.19s * 1)
base-r1 | layer-main-to-action | 2 | 0 | 0.0 | 0/0 | 0 | 0 | False | 0 | 0.9975 | calc(0.19s * 1)
base-r1 | layer-action-to-main | 2 | 0 | 0.0 | 0/0 | 0 | 0 | False | 0 | 0.9958 | calc(0.19s * 1)
base-r2 | c1-large-to-small-idle-first | 14 | 499.8 | 499.8 | 6/0 | 0 | 0 | False | 0 | 1.0407 | calc(0.19s * 1)
base-r2 | c1-small-to-large-hover | 15 | 499.9 | 199.1 | 4/0 | 45 | 0 | False | 0 | 1.0021 | calc(0.19s * 1)
base-r2 | c2-large-to-small-idle-second | 14 | 500.9 | 199.4 | 6/0 | 0 | 0 | False | 3 | 0.9423 | calc(0.19s * 1)
base-r2 | c2-small-to-large-click-rest | 15 | 494 | 194.2 | 4/0 | 49 | 0 | False | 0 | 0.9993 | calc(0.19s * 1)
base-r2 | c3-large-to-small-outside | 14 | 495.9 | 195.8 | 6/0 | 0 | 0 | False | 0 | 1.0036 | calc(0.19s * 1)
base-r2 | c3-small-to-large-click-pointer-off | 15 | 499.1 | 196.9 | 4/0 | 0 | 0 | False | 0 | 0.9995 | calc(0.19s * 1)
base-r2 | layer-main-to-action | 2 | 0 | 0 | 0/0 | 0 | 0 | False | 0 | 0.9969 | calc(0.19s * 1)
base-r2 | layer-action-to-main | 2 | 0 | 0.0 | 0/0 | 0 | 0 | False | 0 | 0.9957 | calc(0.19s * 1)
