segments [
  [ 34, 101, 4309, 5409, '1100' ],
  [ 144, 211, 6142.4, 7242.4, '1100' ],
  [ 254, 321, 7975.7, 9075.7, '1100' ],
  [ 393, 460, 10309, 11409, '1100' ],
  [ 518, 585, 12392.3, 13492.3, '1100' ]
]
--- seg 34
32 4275.6   "" waapi=0 nA=2
33 4291.7   "" waapi=0 nA=2
34 4309 R "" waapi=0 nA=2
35 4325.7 R 0.0,0.0 waapi=0 nA=2
36 4342.4 R 27.3,34.1 waapi=0 nA=2
37 4359.1 R 53.8,67.3 waapi=0 nA=2
38 4375.7 R 79.4,99.2 waapi=0 nA=2
39 4392.4 R 103.7,129.6 waapi=0 nA=2
40 4408.7 R 127.0,158.7 waapi=0 nA=2
41 4425.7 R 148.4,185.6 waapi=0 nA=2
42 4442.3 R 169.5,211.9 waapi=0 nA=2
43 4459.1 R 188.7,235.9 waapi=0 nA=2
44 4475.7 R 206.9,258.6 waapi=0 nA=2
45 4492.4 R 223.5,279.4 waapi=0 nA=2
46 4509 R 239.0,298.8 waapi=0 nA=2
47 4524.8 R 253.3,316.6 waapi=0 nA=2
48 4542.3 R 265.8,332.2 waapi=0 nA=2
49 4559.1 R 278.6,348.2 waapi=0 nA=2
50 4575.7 R 289.8,362.3 waapi=0 nA=2
51 4592.3 R 300.0,375.0 waapi=0 nA=2
52 4609 R 309.4,386.7 waapi=0 nA=2
53 4625.7 R 318.0,397.6 waapi=0 nA=2
54 4642.3 R 326.0,407.5 waapi=0 nA=2
55 4658.5 R 333.2,416.5 waapi=0 nA=2
56 4675.7 R 339.6,424.5 waapi=0 nA=2
57 4692.4 R 345.9,432.4 waapi=0 nA=3
58 4709 R 351.4,439.3 waapi=0 nA=3
59 4725.7 R 356.4,445.5 waapi=0 nA=3
60 4742.4 R 361.0,451.2 waapi=0 nA=3
61 4759.1 R 365.1,456.4 waapi=0 nA=3
62 4775.7 R 368.9,461.1 waapi=0 nA=3
63 4791.7 R 372.2,465.3 waapi=0 nA=3
64 4808.7 R 375.1,468.9 waapi=0 nA=3
65 4825.7 R 377.9,472.4 waapi=0 nA=3
66 4842.4 R 380.4,475.5 waapi=0 nA=3
67 4859.1 R 382.5,478.1 waapi=0 nA=3
68 4875.7 R 384.3,480.4 waapi=0 nA=3
69 4891.9 R 385.9,482.4 waapi=0 nA=3
70 4909.1 R 387.2,484.1 waapi=0 nA=3
71 4925.4 R 388.4,485.5 waapi=0 nA=3
72 4942.3 R 389.3,486.7 waapi=0 nA=3
73 4959.1 R 390.1,487.6 waapi=0 nA=3
74 4975.7 R 390.6,488.3 waapi=0 nA=2
75 4991.8 R 391.0,488.8 waapi=0 nA=2
76 5009 R 391.2,489.0 waapi=0 nA=2
77 5025.7 R 391.3,489.1 waapi=0 nA=2
78 5041.5 R 391.2,489.0 waapi=0 nA=2
79 5059 R 390.9,488.7 waapi=0 nA=2
80 5075.7 R 390.5,488.2 waapi=0 nA=2
81 5092.4 R 390.0,487.5 waapi=0 nA=2
82 5109.1 R 389.4,486.7 waapi=0 nA=2
83 5125 R 388.6,485.8 waapi=0 nA=2
84 5142.3 R 387.8,484.8 waapi=0 nA=2
85 5159 R 386.8,483.5 waapi=0 nA=2
86 5175.7 R 385.7,482.2 waapi=0 nA=2
87 5192.4 R 384.6,480.7 waapi=0 nA=2
88 5208.4 R 383.3,479.1 waapi=0 nA=2
89 5225.7 R 382.0,477.5 waapi=0 nA=2
90 5242.4 R 380.5,475.7 waapi=0 nA=2
91 5259.1 R 379.0,473.8 waapi=0 nA=2
92 5275.7 R 377.4,471.8 waapi=0 nA=2
93 5292.4 R 375.8,469.7 waapi=0 nA=2
94 5309 R 374.0,467.5 waapi=0 nA=2
95 5325.2 R 372.2,465.2 waapi=0 nA=2
96 5341.6 R 370.4,463.0 waapi=0 nA=2
97 5359.1 R 368.5,460.6 waapi=0 nA=2
98 5375.7 R 366.4,457.9 waapi=0 nA=2
99 5392.4 R 364.3,455.4 waapi=0 nA=2
100 5409 R 362.2,452.7 waapi=0 nA=2
101 5425.2   360.0,450.0 waapi=0 nA=2
102 5442.4   360.0,450.0 waapi=0 nA=2
103 5459   360.0,450.0 waapi=0 nA=2
--- seg 144
142 6109.1   360.0,450.0 waapi=0 nA=2
143 6125.7   360.0,450.0 waapi=0 nA=2
144 6142.4 R 360.0,450.0 waapi=0 nA=2
145 6159 R 360.0,450.0 waapi=0 nA=2
146 6175.7 R 393.9,524.6 waapi=0 nA=2
147 6192.4 R 427.1,597.5 waapi=0 nA=2
148 6209 R 459.0,667.8 waapi=0 nA=2
149 6225.7 R 489.4,734.7 waapi=0 nA=2
150 6242.4 R 518.5,798.8 waapi=0 nA=2
151 6258.6 R 546.0,859.3 waapi=0 nA=2
152 6275.7 R 571.1,914.5 waapi=0 nA=2
153 6292.4 R 595.9,969.1 waapi=0 nA=2
154 6309.1 R 618.5,1018.6 waapi=0 nA=2
155 6325.7 R 639.4,1064.7 waapi=0 nA=2
156 6342.3 R 658.7,1107.0 waapi=0 nA=2
157 6359.1 R 676.5,1146.2 waapi=0 nA=2
158 6375.7 R 693.1,1182.8 waapi=0 nA=2
159 6392.3 R 708.2,1216.0 waapi=0 nA=2
160 6408.3 R 722.1,1246.6 waapi=0 nA=2
161 6425.7 R 734.4,1273.7 waapi=0 nA=2
162 6442.3 R 746.7,1300.8 waapi=0 nA=2
163 6459 R 757.5,1324.5 waapi=0 nA=2
164 6475.3 R 767.4,1346.3 waapi=0 nA=2
165 6492.3 R 776.3,1365.8 waapi=0 nA=2
166 6509.1 R 784.7,1384.4 waapi=0 nA=2
167 6524.9 R 792.4,1401.2 waapi=0 nA=2
168 6542.4 R 798.9,1415.6 waapi=0 nA=2
169 6559.1 R 805.5,1430.2 waapi=0 nA=2
170 6575.6 R 811.2,1442.7 waapi=0 nA=2
171 6592.4 R 816.4,1454.0 waapi=0 nA=2
172 6608.7 R 821.1,1464.4 waapi=0 nA=2
173 6625.7 R 825.2,1473.5 waapi=0 nA=2
174 6642.4 R 829.1,1481.9 waapi=0 nA=2
175 6659 R 832.4,1489.4 waapi=0 nA=2
176 6675.7 R 835.4,1496.0 waapi=0 nA=2
177 6692.4 R 838.1,1501.8 waapi=0 nA=2
178 6709 R 840.4,1506.9 waapi=0 nA=2
179 6725.7 R 842.4,1511.3 waapi=0 nA=2
180 6742.2 R 844.1,1515.0 waapi=0 nA=2
181 6758.1 R 845.5,1518.1 waapi=0 nA=2
182 6775.6 R 846.6,1520.6 waapi=0 nA=2
183 6792.3 R 847.6,1522.7 waapi=0 nA=2
184 6809.1 R 848.3,1524.3 waapi=0 nA=2
185 6825.7 R 848.8,1525.3 waapi=0 nA=2
186 6842.3 R 849.0,1525.8 waapi=0 nA=2
187 6859 R 849.1,1526.0 waapi=0 nA=2
188 6875.7 R 849.0,1525.7 waapi=0 nA=2
189 6892.3 R 848.6,1525.0 waapi=0 nA=2
190 6908.8 R 848.2,1524.0 waapi=0 nA=2
191 6925.7 R 847.5,1522.6 waapi=0 nA=2
192 6942.4 R 846.7,1520.8 waapi=0 nA=2
